更新时间: 2025-12-13 01:35:16（北京时间）

更新时间,#genre#
2025-12-13 01:35:16,https://kakaxi-1.asia/LOGO/Disclaimer.mp4

央视频道,#genre#
CCTV10,http://113.78.252.42:4000/udp/239.77.1.25:5146$广东电信
CCTV10,http://117.90.94.229:6000/rtp/239.49.1.10:6000$江苏电信
CCTV10,http://117.90.94.229:6000/rtp/239.49.0.10:8072$江苏电信
CCTV10,http://180.111.29.214:8888/rtp/239.49.1.10:6000$江苏电信
CCTV10,http://180.111.29.214:8888/rtp/239.49.0.10:8072$江苏电信
CCTV10,http://183.7.144.126:8880/udp/239.77.0.39:5146$广东电信
CCTV10,http://183.7.144.126:8880/udp/239.77.1.25:5146$广东电信
CCTV10,http://220.175.144.78:9000/rtp/239.252.220.91:5140$江西电信
CCTV11,http://113.78.252.42:4000/udp/239.77.0.40:5146$广东电信
CCTV11,http://113.78.252.42:4000/udp/239.77.1.42:5146$广东电信
CCTV11,http://117.90.94.229:6000/rtp/239.49.1.11:6000$江苏电信
CCTV11,http://117.90.94.229:6000/rtp/239.49.0.11:8080$江苏电信
CCTV11,http://180.111.29.214:8888/rtp/239.49.1.11:6000$江苏电信
CCTV11,http://180.111.29.214:8888/rtp/239.49.0.11:8080$江苏电信
CCTV11,http://183.7.144.126:8880/udp/239.77.0.40:5146$广东电信
CCTV11,http://183.7.144.126:8880/udp/239.77.1.42:5146$广东电信
CCTV11,http://220.175.144.78:9000/rtp/239.252.219.16:5140$江西电信
CCTV12,http://113.78.252.42:4000/udp/239.77.0.41:5146$广东电信
CCTV12,http://113.78.252.42:4000/udp/239.77.1.10:5146$广东电信
CCTV12,http://117.90.94.229:6000/rtp/239.49.1.12:6000$江苏电信
CCTV12,http://117.90.94.229:6000/rtp/239.49.0.12:8088$江苏电信
CCTV12,http://180.111.29.214:8888/rtp/239.49.1.12:6000$江苏电信
CCTV12,http://180.111.29.214:8888/rtp/239.49.0.12:8088$江苏电信
CCTV12,http://183.7.144.126:8880/udp/239.77.0.41:5146$广东电信
CCTV12,http://183.7.144.126:8880/udp/239.77.1.10:5146$广东电信
CCTV12,http://220.175.144.78:9000/rtp/239.252.220.187:5140$江西电信
CCTV13,http://113.78.252.42:4000/udp/239.77.0.42:5146$广东电信
CCTV13,http://113.78.252.42:4000/udp/239.77.1.26:5146$广东电信
